717,5174,3978
443404,6723,5176,4004
443405,6719,5169,3973
443406,6720,5177,3974
443407,6719,5174,3972
443408,6720,5173,3974
443409,6720,5175,3981
443410,6718,5178,3974
443411,6718,5177,3977
443412,6722,5174,3976
443413,6720,5175,3975
443414,6719,5176,3980
443415,6722,5176,3976
443416,6720,5165,3974
443417,6719,5174,3983
443418,6719,5176,3975
443419,6712,5170,3981
443420,6719,5172,3976
443421,6719,5173,3975
443422,6720,5171,3975
443423,6721,5173,3988
443424,6718,5172,3972
443425,6720,5174,3978
443426,6723,5173,3975
443427,6718,5166,3981
443428,6718,5177,3978
443429,6720,5173,3971
443430,6720,5163,3978
443431,6719,5172,3979
443432,6718,5176,3978
443433,6719,5177,3979
443434,6720,5172,3978
443435,6717,5173,3976
443436,6718,5174,3981
443437,6721,5176,3975
443438,6719,5172,3971
443439,6717,5173,3980
443440,6722,5175,3979
443441,6720,5173,3974
443442,6720,5176,3975
443443,6715,5194,3974
443444,6715,5171,3988
443445,6721,5180,3970
443446,6720,5174,3984
443447,6721,5173,3981
443448,6715,5176,3977
443449,6721,5173,3975
443450,6720,5175,3975
443451,6719,5172,3978
443452,6718,5167,3977
443453,6718,5175,3974
443454,6719,5174,3978
443455,6720,5172,3972
443456,6719,5174,3973
443457,6719,5177,3976
443458,6719,5167,3974
443459,6718,5173,3979
443460,6721,5177,3979
443461,6720,5173,3978
443462,6719,5175,3979
443463,6720,5197,4178
443464,6718,5174,3944
443465,6719,5174,3971
443466,6722,5172,3974
443467,6719,5174,3980
443468,6717,5174,3974
443469,6718,5166,3971
443470,6718,5174,3977
443471,6723,5173,3979
443472,6719,5172,3980
443473,6717,5169,3975
443474,6720,5173,3968
443475,6726,5174,3973
443476,6721,5173,3978
443477,6719,5176,3965
443478,6720,5174,3974
